   Runnr,   Alpha,      Cd,      Cl,      Cm,      Cn,      Ct,Cd-press,Cl-press,      Re,       M,       Q,       V,  Z_w.r.,    Flap, Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023, Cpl_024, Cn-corr, Ct-corr, Cm-corr,
       /, degrees,       /,       /,       /,       /,       /,       /,       /,       /,       /,      Pa,     m/s,      mm, degrees,100,95.2,90.1,85.2,80.1,70.2,59.8,55.2,50.1,45.2,40.2,35.1,30.1,25,20,15.1,10.1,8.9,7.1,5.5,4.3,3.1,1.8,0.8,0,0,0.6,1.6,3,4.2,5.4,6.9,8.4,9.8,19.9,24.9,29.9,34.9,40,45,49.6,55.1,60.1,69.9,75,80,90,95.2,100,       /,       /,       /,
0,-2.002,0.008513,-0.1794,0.0002,-0.1796,0.002241,0.002741,-0.1797,1.02E+06,0.183,2381.62,62.45,0,0,0.17907,0.12303,0.06486,0.01641,-0.02241,-0.12388,-0.25558,-0.29873,-0.3444,-0.3809,-0.40722,-0.39395,-0.36432,-0.33048,-0.29157,-0.23396,-0.15035,-0.11833,-0.07126,-0.01461,0.06068,0.1527,0.32524,0.63147,0.8359,0.83692,-0.28044,-0.5017,-0.53143,-0.55479,-0.56301,-0.55658,-0.56431,-0.56509,-0.57995,-0.57752,-0.58204,-0.58751,-0.57496,-0.53217,-0.48147,-0.42843,-0.30125,-0.18844,-0.12236,-0.06798,0.04302,0.11443,0.17907,-0.1795,-0.003537,0.0002,
1,0.001,0.008903,0.0146,0.0003,0.0146,0.008903,0.001789,0.0146,1.01E+06,0.183,2375.72,62.46,0,0,0.17858,0.12048,0.05543,0.0009,-0.04428,-0.15944,-0.28905,-0.36794,-0.41719,-0.46387,-0.50168,-0.49963,-0.48401,-0.4657,-0.44705,-0.41511,-0.37234,-0.35564,-0.32885,-0.29843,-0.25565,-0.19891,-0.08121,0.18271,0.99452,0.9958,0.28086,-0.00735,-0.1338,-0.20839,-0.2512,-0.27841,-0.31123,-0.33026,-0.41988,-0.43924,-0.46079,-0.48061,-0.48095,-0.44913,-0.40332,-0.35948,-0.30187,-0.14923,-0.0935,-0.04688,0.05122,0.11582,0.17858,0.0145,0.00179,0.0003,
2,1.004,0.009103,0.1118,0,0.112,0.007141,0.00227,0.112,1.01E+06,0.182,2373.8,62.46,0,0,0.17835,0.1195,0.05183,-0.00623,-0.05422,-0.17635,-0.3012,-0.39933,-0.45485,-0.50508,-0.54794,-0.55272,-0.54288,-0.53347,-0.52638,-0.50861,-0.48855,-0.47965,-0.46621,-0.45152,-0.42884,-0.39685,-0.31951,-0.10608,0.9883,0.98966,0.4996,0.20222,0.04226,-0.05126,-0.10833,-0.14969,-0.19286,-0.21981,-0.34266,-0.37207,-0.40145,-0.42794,-0.43446,-0.40848,-0.36703,-0.32396,-0.28185,-0.1293,-0.07785,-0.03561,0.05583,0.11703,0.17835,0.112,0.000311,0,
3,2.008,0.009193,0.2118,-0.0007,0.212,0.001764,0.003522,0.2121,1.01E+06,0.182,2372.18,62.46,0,0,0.1784,0.11849,0.04806,-0.01283,-0.06402,-0.19252,-0.32287,-0.41727,-0.49643,-0.54731,-0.59522,-0.60677,-0.60435,-0.60505,-0.60803,-0.60487,-0.60931,-0.61111,-0.61186,-0.61476,-0.61472,-0.61209,-0.58485,-0.44236,0.92226,0.92347,0.68049,0.38948,0.20549,0.09702,0.0281,-0.02596,-0.07909,-0.11191,-0.26535,-0.30434,-0.34118,-0.37409,-0.38658,-0.36655,-0.3301,-0.28914,-0.25142,-0.11017,-0.06043,-0.02293,0.06133,0.11889,0.1784,0.212,-0.003903,-0.0007,
4,3.012,0.009557,0.3146,-0.0012,0.3147,-0.006989,0.005344,0.3149,1.01E+06,0.182,2370.46,62.46,0,0,0.17828,0.11784,0.0444,-0.0193,-0.07441,-0.21024,-0.35164,-0.42175,-0.53727,-0.59462,-0.6453,-0.66339,-0.66862,-0.67799,-0.69421,-0.70778,-0.73985,-0.75232,-0.76851,-0.79088,-0.81879,-0.84957,-0.88242,-0.83468,0.77823,0.77958,0.82339,0.55563,0.35576,0.23753,0.15902,0.09432,0.03292,-0.00636,-0.18808,-0.23628,-0.28031,-0.31945,-0.33787,-0.32382,-0.29279,-0.25506,-0.21868,-0.0948,-0.04201,-0.00934,0.06689,0.12031,0.17828,0.3146,-0.011195,-0.0012,
5,3.514,0.009521,0.3628,-0.0011,0.3627,-0.012736,0.006556,0.3631,1.01E+06,0.182,2369.35,62.47,0,0,0.17774,0.11796,0.04366,-0.02195,-0.07958,-0.21841,-0.36822,-0.44283,-0.52552,-0.60922,-0.67265,-0.69198,-0.69964,-0.7123,-0.73641,-0.75804,-0.80376,-0.82225,-0.84664,-0.87763,-0.92102,-0.96944,-1.0342,-1.03873,0.682,0.68309,0.87696,0.62616,0.42303,0.30129,0.21873,0.14952,0.08472,0.04279,-0.15154,-0.20396,-0.25135,-0.29339,-0.31459,-0.30347,-0.27504,-0.23918,-0.20365,-0.0916,-0.03373,-0.00281,0.06905,0.12029,0.17774,0.3627,-0.015691,-0.0011,
6,4.016,0.009461,0.4075,-0.0004,0.4072,-0.019103,0.007952,0.4076,1.01E+06,0.182,2367.92,62.46,0,0,0.17667,0.11887,0.04386,-0.02342,-0.08308,-0.22549,-0.37969,-0.45786,-0.54024,-0.61491,-0.68584,-0.70887,-0.72778,-0.74918,-0.7761,-0.8063,-0.86595,-0.88947,-0.92241,-0.96338,-1.02141,-1.08727,-1.18524,-1.24568,0.5722,0.57358,0.91938,0.68829,0.48456,0.36009,0.27478,0.20143,0.1336,0.08921,-0.11669,-0.17309,-0.22359,-0.26839,-0.29223,-0.28384,-0.25807,-0.22413,-0.18967,-0.09254,-0.02661,0.00335,0.07051,0.11905,0.17667,0.4071,-0.020597,-0.0004,
7,4.518,0.009791,0.4499,0.0009,0.4492,-0.025679,0.009482,0.4499,1.01E+06,0.182,2367.12,62.46,0,0,0.17264,0.11873,0.04419,-0.0238,-0.08532,-0.2307,-0.38921,-0.46906,-0.55171,-0.62817,-0.7046,-0.73326,-0.75948,-0.75981,-0.81451,-0.85538,-0.92842,-0.95796,-0.99935,-1.05109,-1.12422,-1.20834,-1.34143,-1.46146,0.44656,0.44779,0.95245,0.74449,0.54214,0.41606,0.32784,0.25104,0.1808,0.13407,-0.08307,-0.14325,-0.19687,-0.24449,-0.27102,-0.26544,-0.24236,-0.21048,-0.17729,-0.0958,-0.02212,0.00806,0.07008,0.11496,0.17264,0.4492,-0.025967,0.0009,
8,5.02,0.011006,0.4845,0.0031,0.4836,-0.031435,0.011142,0.4845,1.01E+06,0.182,2365.79,62.45,0,0,0.1641,0.11688,0.04567,-0.02199,-0.08471,-0.23231,-0.3951,-0.47745,-0.56289,-0.64144,-0.71866,-0.74956,-0.76029,-0.78617,-0.83616,-0.8889,-0.98765,-1.02232,-1.07157,-1.13253,-1.22119,-1.32336,-1.49055,-1.6707,0.31428,0.31551,0.97544,0.792,0.59214,0.46566,0.37604,0.29581,0.22339,0.17454,-0.05257,-0.11646,-0.17314,-0.22345,-0.25265,-0.24981,-0.22936,-0.19957,-0.16791,-0.09701,-0.02231,0.01014,0.06653,0.10696,0.1641,0.4836,-0.031275,0.0031,
