time,time [python],alpha [deg],t [deg C],p [hPa],deltaPb [Pa],rho [kg/m3],v [m/s],Re [10^5]
16:13,0.675694444,-2,17.4,1018.24,957.8,1.221,60.9,9.9
16:14,0.676388889,-1,17.8,1018.26,957,1.219,60.9,9.88
16:15,0.677083333,0,18,1018.24,956.1,1.218,60.9,9.87
16:16,0.677777778,1,18.3,1018.26,955.6,1.217,60.9,9.85
16:17,0.678472222,2,18.4,1018.28,954.7,1.216,60.9,9.84
16:18,0.679166667,3,18.6,1018.29,954.1,1.216,60.9,9.82
16:19,0.679861111,3.5,18.9,1018.32,953.5,1.215,60.9,9.82
16:20,0.680555556,4,19,1018.32,953,1.214,60.9,9.81
16:21,0.68125,4.5,19.3,1018.35,952.2,1.213,60.9,9.8
16:22,0.681944444,5,19.2,1018.35,951.7,1.213,60.9,9.8
16:23,0.682638889,5.5,19.3,1018.35,951.2,1.213,60.9,9.78
16:23,0.682638889,6,19.4,1018.35,950.8,1.213,60.9,9.78
16:24,0.683333333,7,19.4,1018.36,949.9,1.212,60.9,9.77
16:24,0.683333333,8.01,19.6,1018.39,948.9,1.212,60.8,9.77
16:25,0.684027778,9.01,19.7,1018.41,947.7,1.212,60.8,9.76
16:26,0.684722222,10,19.7,1018.39,946.5,1.211,60.8,9.75
16:27,0.685416667,11,19.8,1018.39,945.9,1.211,60.7,9.74
16:27,0.685416667,12,19.9,1018.39,944.5,1.211,60.7,9.73
16:28,0.686111111,13,20,1018.39,943.5,1.21,60.7,9.72
16:29,0.686805556,13.5,20,1018.38,942.1,1.21,60.7,9.71
16:30,0.6875,14,20.1,1018.39,941.4,1.21,60.6,9.71
16:31,0.688194444,14.5,20.2,1018.39,940.3,1.209,60.6,9.7
16:32,0.688888889,15,20.3,1018.38,939.4,1.209,60.6,9.69
16:33,0.689583333,15.5,20.3,1018.37,938.6,1.209,60.6,9.68
16:34,0.690277778,16,20.4,1018.39,937.1,1.209,60.5,9.67
16:37,0.692361111,16.5,20.5,1018.36,929,1.208,60.1,9.6
16:38,0.693055556,17,20.6,1018.36,923.8,1.208,60.1,9.59
16:39,0.69375,18,20.7,1018.37,920.8,1.207,60,9.57
16:40,0.694444444,17,20.7,1018.37,922.2,1.207,60.1,9.58
16:41,0.695138889,16,20.8,1018.35,925.2,1.207,60.2,9.59
16:41,0.695138889,15.01,20.8,1018.36,928.1,1.207,60.3,9.61
16:42,0.695833333,14.01,20.8,1018.35,933.8,1.207,60.5,9.63
16:43,0.696527778,13.01,20.9,1018.35,940,1.206,60.7,9.66
16:44,0.697222222,12,21,1018.34,940.8,1.206,60.7,9.67
